#domain,port,ioc,ip
01fpzw6aar687n3mbs68qdw6y2.2mp8q4u89y94nzagkr4ewhosajg94y.burpcollaborator.net,80,Possible BurpSuite Collaborator Domain (Unverified),54.77.139.23
103.116.52.203.sslip.io,4321,Possible AdaptixC2 Domain (Unverified),103.116.52.203
11.id.xoom.com.s92d03b1vlnmj94fxk7kbwd9208vwk.burpcollaborator.net,443,Possible BurpSuite Collaborator Domain (Unverified),54.77.139.23
11777-outbound-webtest.nsd.li,80,Possible BurpSuite Collaborator Domain (Unverified),81.95.8.185
11792-webtest.nsd.li,443,Possible BurpSuite Collaborator Domain (Unverified),80.255.6.3
11792-webtest.nsd.li,80,Possible BurpSuite Collaborator Domain (Unverified),80.255.6.3
13405.multura.space,4697,Possible wstunnel Domain (Unverified),128.204.223.94
139-162-113-221.ip.linodeusercontent.com,64321,Possible AdaptixC2 Domain (Unverified),139.162.113.221
147-93-188-97.sslip.io,11601,Possible Ligolo-ng Domain (Unverified),147.93.188.97
159.223.224.196.nip.io,80,Possible BurpSuite Collaborator Domain (Unverified),159.223.224.196
17.205.178.68.host.secureserver.net,4321,Possible AdaptixC2 Domain (Unverified),68.178.205.17
17.205.178.68.host.secureserver.net,7443,Possible Mythic Domain (Unverified),68.178.205.17
1737.h1j0pz3zf3143ogo9ur3sm2y6pcf04.burpcollaborator.net,80,Possible BurpSuite Collaborator Domain (Unverified),3.248.33.252
185-242-3-250.sslip.io,6606,Possible AsyncRAT Domain (Unverified),185.242.3.250
217-60-195-110.cprapid.com,443,Possible PureRAT Domain (Unverified),217.60.195.110
217-60-195-110.cprapid.com,56001,Possible PureRAT Domain (Unverified),217.60.195.110
217.216.73.36.sslip.io,11601,Possible Ligolo-ng Domain (Unverified),217.216.73.36
2jo.me,80,Possible BurpSuite Collaborator Domain (Unverified),193.70.37.121
2yrcq-l.257.cz,11601,Possible Ligolo-ng Domain (Unverified),194.113.73.246
2yrcq-l.257.cz,8443,Possible Havoc Domain (Unverified),194.113.73.246
2yrcqwt.257.cz,11601,Possible Ligolo-ng Domain (Unverified),194.113.73.106
