#domain,port,ioc,ip
11223344.online,8082,Possible NanoKVM Domain (Unverified),78.29.12.0
123825663.box.freepro.com,80,Possible PiKVM Domain (Unverified),149.232.200.68
1c.autosvet61.ru,9980,Possible PiKVM Domain (Unverified),185.216.192.89
1c.it-bor.ru,41593,Possible NanoKVM Domain (Unverified),188.235.105.83
1c.it-bor.ru,41594,Possible NanoKVM Domain (Unverified),188.235.105.83
1c.s49.izex.org,8005,Possible NanoKVM Domain (Unverified),85.234.8.225
235128847.box.freepro.com,4443,Possible PiKVM Domain (Unverified),212.114.31.56
360.panotoday.net,34443,Possible NanoKVM Domain (Unverified),111.198.55.66
3qp4hi06gfm6ezd3.myfritz.net,10103,Possible GLKVM Domain (Unverified),31.19.204.59
4m134gc6zhalibii.myfritz.net,443,Possible NanoKVM Domain (Unverified),109.250.17.182
520504.xyz,26740,Possible PiKVM Domain (Unverified),116.204.134.92
573432.xyz,4343,Possible PiKVM Domain (Unverified),171.113.251.2
845.ddns.net,1443,Possible PiKVM Domain (Unverified),68.129.100.100
913754280.box.freepro.com,20443,Possible PiKVM Domain (Unverified),130.180.221.66
91msp.com,9443,Possible PiKVM Domain (Unverified),39.101.180.111
9uqnum9ie7zjilxp.myfritz.net,443,Possible TinyPilot KVM Domain (Unverified),80.249.45.130
_dmarc.ci4i15e.r2.glkvm.com,443,Possible GLKVM Domain (Unverified),34.206.17.242
_dmarc.r2.glkvm.com,443,Possible GLKVM Domain (Unverified),34.206.17.242
a.nmpepo.top,8443,Possible GLKVM Domain (Unverified),222.94.139.248
aaronvoxel.direct.quickconnect.to,5500,Possible PiKVM Domain (Unverified),98.123.166.42
adminpetrodgiga.netcraze.pro,8989,Possible NanoKVM Domain (Unverified),178.252.115.39
adobexp.com,3104,Possible TinyPilot KVM Domain (Unverified),82.35.110.164
aea-goodnightranch.podzone.net,4443,Possible GLKVM Domain (Unverified),76.186.135.65
ahwws.ahftzt.com,34430,Possible PiKVM Domain (Unverified),36.7.185.76
ai.obtv.io,8082,Possible TinyPilot KVM Domain (Unverified),98.191.147.191
ajiuyi.com,6024,Possible PiKVM Domain (Unverified),43.248.96.171
ajiuyi.com,6030,Possible PiKVM Domain (Unverified),43.248.96.171
ajiuyi.com,6044,Possible PiKVM Domain (Unverified),43.248.96.171
ajiuyi.com,6055,Possible PiKVM Domain (Unverified),43.248.96.171
ajiuyi.com,6056,Possible PiKVM Domain (Unverified),43.248.96.171
ajiuyi.com,6057,Possible PiKVM Domain (Unverified),43.248.96.171
alepim.synology.me,443,Possible NanoKVM Domain (Unverified),77.239.252.131
alist.345156389.xyz,8800,Possible PiKVM Domain (Unverified),221.220.141.184
alist.fkapi.top,80,Possible NanoKVM Domain (Unverified),58.152.22.27
api-dev.access-manager.ovh,8085,Possible PiKVM Domain (Unverified),193.218.203.8
app.local.deepbits.com,61583,Possible NanoKVM Domain (Unverified),172.15.55.221
arie-home.direct.quickconnect.to,8888,Possible TinyPilot KVM Domain (Unverified),174.161.170.86
arpage.pro,8080,Possible NanoKVM Domain (Unverified),67.248.13.154
artaban96.direct.quickconnect.to,2848,Possible NanoKVM Domain (Unverified),58.230.65.57
artaban96.direct.quickconnect.to,4828,Possible PiKVM Domain (Unverified),58.230.65.57
asd234fsdffg.asuscomm.com,9876,Possible PiKVM Domain (Unverified),159.196.243.28
asusin.ru,50443,Possible PiKVM Domain (Unverified),217.25.229.181
aut.m7z.cn,10602,Possible PiKVM Domain (Unverified),1.14.75.7
awinner.crazedns.ru,82,Possible NanoKVM Domain (Unverified),77.37.178.157
bardov.ru,63848,Possible GLKVM Domain (Unverified),92.255.207.11
beacon.ard.cx,1111,Possible GLKVM Domain (Unverified),104.55.204.54
beaverson.ru,25080,Possible NanoKVM Domain (Unverified),46.188.72.10
best-games.info,22081,Possible GLKVM Domain (Unverified),46.227.243.36
bitwarden.lonelywesley.website,28443,Possible GLKVM Domain (Unverified),24.233.30.146
blog.jinsoon.kr,9876,Possible NanoKVM Domain (Unverified),183.105.163.38
bluegumcreations.net,443,Possible TinyPilot KVM Domain (Unverified),173.231.206.16
bluegumcreations.net,80,Possible TinyPilot KVM Domain (Unverified),173.231.206.16
